"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","CStr%","CSW%","playerid"
"Zack Short","DET","22.8%","66.0%","41.7%","58.3%","82.3%","74.9%","43.7%","57.6%","10.5%","20.0%","30.5%","19562"
"Mookie Betts","LAD","22.9%","64.6%","40.4%","68.2%","93.1%","84.9%","42.0%","58.2%","6.1%","19.5%","25.6%","13611"
"Ji-Man Choi","TBR","23.0%","68.3%","42.3%","53.3%","78.2%","70.4%","42.5%","59.7%","12.5%","16.8%","29.3%","5452"
"Jack Flaherty","STL","23.1%","31.8%","26.6%","66.7%","92.9%","79.3%","40.4%","57.7%","5.5%","32.1%","37.6%","17479"
"Zack Collins","CHW","23.1%","69.7%","43.6%","59.0%","80.2%","73.9%","43.9%","61.0%","11.4%","16.5%","27.8%","19181"
"Kyle Schwarber","- - -","23.3%","67.6%","41.4%","58.0%","81.2%","73.5%","40.8%","55.4%","11.0%","17.3%","28.2%","16478"
"Billy McKinney","- - -","23.4%","65.2%","43.0%","59.7%","87.0%","79.1%","46.9%","58.0%","9.0%","20.1%","29.1%","15654"
"Jahmai Jones","BAL","23.4%","63.0%","42.8%","54.5%","88.2%","78.8%","48.9%","70.8%","9.1%","21.0%","30.1%","18872"
"Tony Kemp","OAK","23.5%","64.4%","41.5%","78.3%","90.9%","86.9%","44.1%","58.9%","5.4%","18.8%","24.2%","14894"
"Brandon Belt","SFG","23.5%","78.6%","47.2%","65.9%","79.4%","75.6%","43.0%","53.3%","11.5%","11.9%","23.4%","10264"
"Lane Thomas","- - -","23.5%","60.9%","39.9%","67.3%","87.9%","81.1%","43.9%","61.0%","7.5%","22.0%","29.5%","16939"
"Sergio Alcantara","CHC","23.5%","65.1%","42.3%","52.2%","81.2%","72.3%","45.1%","58.0%","11.7%","18.9%","30.6%","16417"
"Sandy Alcantara","MIA","23.6%","33.1%","28.7%","20.7%","54.2%","41.6%","54.1%","51.6%","16.8%","38.8%","55.6%","18684"
"Joe Panik","- - -","23.7%","68.3%","43.7%","82.6%","89.7%","87.6%","44.9%","60.3%","5.4%","19.1%","24.5%","11936"
"Brian O'Grady","SDP","23.7%","70.7%","43.8%","54.1%","82.9%","73.9%","42.6%","55.7%","11.4%","14.0%","25.4%","16729"
"Isaac Paredes","DET","23.8%","60.7%","40.2%","80.0%","89.2%","86.2%","44.4%","62.4%","5.6%","21.4%","27.0%","20036"
"Darin Ruf","SFG","23.8%","59.5%","38.1%","59.9%","87.2%","76.9%","39.9%","51.6%","8.8%","21.9%","30.7%","9929"
"Greg Allen","NYY","23.9%","53.1%","36.3%","69.2%","93.0%","84.1%","42.6%","64.6%","5.8%","26.3%","32.1%","16623"
"Jace Peterson","MIL","23.9%","60.3%","40.0%","51.7%","86.7%","75.1%","44.3%","56.6%","10.0%","20.6%","30.6%","12325"
"Jon Berti","MIA","23.9%","65.8%","42.2%","62.1%","89.0%","80.4%","43.7%","59.4%","8.3%","18.1%","26.4%","12037"
"Jordan Luplow","- - -","23.9%","72.3%","43.4%","60.5%","77.9%","72.1%","40.3%","57.5%","12.1%","15.9%","28.0%","16424"
