"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"162",641432,"Calhoun, Willie","1022","15.9","0.214","0.167","0.216","0.381","0.268","0.348","0.307","9","42","90.1","16.8","2193","86.6","85.85","13","76","86","-0.8","6.10","118","161","118","153","298","328","301"
"162",643446,"McNeil, Jeff","1514","10.7","0.278","0.241","0.273","0.519","0.347","0.331","0.285","15","54","87.2","9.1","2203","88.2","88.48","16","102","60","0.3","6.41","113","153","110","149","291","320","296"
"156",622110,"Duffy, Matt","1269","12.3","0.306","0.111","0.367","0.417","0.347","0.374","0.312","11","36","87.3","11.4","2223","88.6","88.29","7","60","96","-0.3","6.38","111","153","119","148","297","315","283"
"154",676801,"McCormick, Chas","1283","12.0","0.344","0.281","0.375","0.625","0.434","0.408","0.321","11","32","88.5","14.8","2139","87.6","87.73","15","69","85","0.1","6.36","104","151","117","145","301","324","290"
"153",543105,"Dickerson, Alex","1229","12.4","0.216","0.135","0.292","0.351","0.252","0.273","0.244","8","37","86.3","11.2","2313","89.0","89.20","21","79","74","0.2","6.36","115","163","125","153","294","324","304"
"153",602074,"Daza, Yonathan","1216","12.6","0.381","0.119","0.441","0.500","0.386","0.315","0.307","16","42","85.0","2.2","2262","87.4","87.16","14","73","80","-0.2","6.27","107","150","112","146","307","328","291"
"153",607680,"Pillar, Kevin","1322","11.6","0.212","0.212","0.238","0.424","0.313","0.280","0.199","7","33","84.1","20.4","2275","87.3","87.49","30","79","74","0.2","6.40","106","151","116","146","304","321","293"
"152",664761,"Bohm, Alec","1673","9.1","0.250","0.175","0.276","0.425","0.297","0.425","0.355","10","40","93.4","15.2","2233","89.0","89.12","18","80","72","0.1","6.34","106","153","121","149","307","321","289"
"150",664238,"Moore, Dylan","1608","9.3","0.133","0.233","0.091","0.367","0.255","0.270","0.158","4","30","86.2","17.1","2198","86.7","86.79","18","72","78","0.1","6.24","111","153","117","147","303","323","289"
"148",669221,"Murphy, Sean","1694","8.7","0.229","0.257","0.273","0.486","0.319","0.368","0.274","8","35","93.1","16.0","2264","86.3","86.22","18","67","81","-0.1","6.23","109","153","122","146","305","324","293"
"147",607054,"Peterson, Jace","1295","11.4","0.276","0.034","0.364","0.310","0.319","0.315","0.244","8","29","81.9","-4.2","2202","89.1","88.46","19","59","88","-0.6","6.22","115","149","110","148","289","318","298"
"146",642165,"VanMeter, Josh","1326","11.0","0.296","0.259","0.300","0.556","0.426","0.414","0.284","8","27","91.0","21.6","2189","87.3","87.34","13","56","90","0.0","6.32","116","155","121","149","295","325","307"
"146",596103,"Slater, Austin","1188","12.3","0.270","0.216","0.276","0.486","0.347","0.350","0.287","10","37","79.2","5.0","2195","87.2","86.00","15","68","78","-1.2","6.25","105","151","113","147","306","321","290"
"146",596142,"Sánchez, Gary","1845","7.9","0.269","0.462","0.235","0.731","0.446","0.435","0.271","7","26","93.0","26.2","2167","88.6","89.01","12","65","81","0.4","6.55","103","154","121","146","300","330","294"
"145",643265,"Cooper, Garrett","1001","14.5","0.379","0.172","0.476","0.552","0.442","0.397","0.312","11","29","97.2","4.4","2280","89.0","89.26","10","60","85","0.3","6.43","111","153","120","150","309","325","290"
"145",571657,"Farmer, Kyle","1955","7.4","0.229","0.171","0.250","0.400","0.309","0.327","0.265","8","35","87.9","20.4","2240","87.0","86.46","13","75","70","-0.5","6.25","105","151","118","146","298","320","288"
"144",605548,"Zimmer, Bradley","1375","10.5","0.219","0.063","0.368","0.281","0.244","0.283","0.251","7","32","86.9","-1.3","2186","88.1","88.11","28","74","70","0.0","6.17","108","150","111","151","291","320","299"
"144",570256,"Polanco, Gregory","1551","9.3","0.216","0.270","0.185","0.486","0.302","0.399","0.286","8","37","88.1","22.1","2197","87.5","87.68","19","71","73","0.2","6.34","115","163","132","152","300","323","299"
"144",596847,"Choi, Ji-Man","1279","11.3","0.108","0.162","0.074","0.270","0.209","0.333","0.255","4","37","87.9","7.8","2093","87.9","88.20","12","63","81","0.3","6.48","115","168","126","150","290","326","302"
